Source sentence,Answer sentence,Event1,Event2,labels,type
" causal </s></s> unrelated </s></s> This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",flew has no relation to chose ,flew ,chose ,NONE,inter
" causal </s></s> unrelated </s></s> This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",approved has no relation to checked into ,approved ,checked into ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",Checks Into has no relation to investigation ,Checks Into ,investigation ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan Checks Into Rehab in Newport Beach ; Investigation of Facility Pending Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . ",Investigation has no relation to pending ,Investigation ,pending ,NONE,inter
" causal </s></s> unrelated </s></s> This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . ",flew has no relation to approved ,flew ,approved ,NONE,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into rehab in Newport Beach , Calif . , and will remain there for the time being , pending an investigation of the facility she chose . This despite the fact that , at the 11th hour , Lohan bailed on rehab in a New York facility that was approved by prosecutors and a judge and flew to L . A . ",chose has no relation to approved ,chose ,approved ,NONE,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . ",sentence is the cause of comply ,sentence ,comply ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . ",placement is the cause of blindsided ,placement ,blindsided ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . ",case is the cause of sentence ,case ,sentence ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> ""My client is ensconced in the bosom of that facility right now , "" Heller argued after a prosecutor objected to Lohan's choice of rehab facilities . "" ",choice is the cause of objected ,choice ,objected ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lawyer : Lindsay Lohan checks into rehab facility Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . ",checks into is the cause of comply ,checks into ,comply ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . ",placement is the cause of comply ,placement ,comply ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . ",checked into is the cause of comply ,checked into ,comply ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . ",checked into is the cause of blindsided ,checked into ,blindsided ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lawyer : Lindsay Lohan checks into rehab facility White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . ",checks into is the cause of blindsided ,checks into ,blindsided ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lawyer : Lindsay Lohan checks into rehab facility ""My client is ensconced in the bosom of that facility right now , "" Heller argued after a prosecutor objected to Lohan's choice of rehab facilities . "" ",checks into is the cause of ensconced ,checks into ,ensconced ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . ""My client is ensconced in the bosom of that facility right now , "" Heller argued after a prosecutor objected to Lohan's choice of rehab facilities . "" ",placement is the cause of ensconced ,placement ,ensconced ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . ",vetted is the cause of blindsided ,vetted ,blindsided ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . ",agreed is the cause of blindsided ,agreed ,blindsided ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . ",arrival is the cause of drama ,arrival ,drama ,Cause-Effect,intra
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . ""My client is ensconced in the bosom of that facility right now , "" Heller argued after a prosecutor objected to Lohan's choice of rehab facilities . "" ",checked into is the cause of ensconced ,checked into ,ensconced ,Cause-Effect,inter
" causal </s></s> unrelated </s></s> Lindsay Lohan has checked into a rehab facility to comply with her sentence in a misdemeanor driving case , but her arrival there was not without drama . She's in rehab right now . ",comply has no relation to rehab ,comply ,rehab ,NONE,inter
" causal </s></s> unrelated </s></s> White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . She's in rehab right now . ",placement has no relation to rehab ,placement ,rehab ,NONE,inter
" causal </s></s> unrelated </s></s> White said he was ""completely blindsided"" by Lohan's placement at Morningside because Heller had previously agreed to send the actress to a different facility that had been vetted . Nothing bad is going to happen . "" ",agreed has no relation to happen ,agreed ,happen ,NONE,inter
